user_id,username,nickname,discussion_count,post_count,upvotes_given,downvotes_given,upvotes_received,downvotes_received,haha_given,wtf_given,tuga_given,haha_received,wtf_received,tuga_received
1,micho,M̵̧̩͑̀͝î̶͍̉ć̴̝̾́̀o̶̺̟̣͂̽,85,21457,3144,235,27825,4626,12637,1677,1370,21592,1668,2030
2,moose,sugar BoOo!!,2,60,167,3,271,4,238,29,6,175,17,20
3,__builtin_popcount,std::popcount,10,1810,10387,84,5654,31,10968,741,874,5130,292,419
5,Joskica,,0,872,1145,9,951,24,407,8,159,269,29,102
6,AntonioB25,Pleteni miš,3,289,909,4,379,1,366,1,45,71,2,21
7,Borna,,0,0,0,0,0,0,0,0,0,0,0,0
8,UkiseljeniKrastavac,,0,1,25,2,6,0,3,2,0,1,0,0
9,soplagaitas,sopla,0,413,5841,82,2413,30,4428,316,1099,1607,109,335
10,tux,,0,67,40,2,50,0,9,0,0,93,1,0
11,Karabajo,,0,8,3,0,9,0,0,0,0,0,0,0
12,urmom,,0,0,0,0,0,0,0,0,0,0,0,0
13,Joji,,0,93,127,2,214,1,58,3,7,17,12,8
14,ivona_075,Adri,4,156,50,0,114,11,4,2,6,13,3,9
15,Roc,,1,10,6,0,0,0,0,0,0,1,0,0
16,Stark,,22,793,992,44,748,5,1012,34,130,779,16,48
17,Mile,,0,9,4,0,30,1,3,0,0,3,0,0
18,Flimpz,,0,0,0,0,0,0,0,0,0,0,0,0
19,Trinity,,0,5,19,6,4,0,0,0,0,0,0,1
20,IvicaKavasaki,,0,6,12,0,2,0,1,1,0,0,0,0
21,Asura,Asura,1,439,127,4,351,2,274,18,39,170,11,44
22,Red_Baron,,7,1152,2002,15,3206,27,1806,48,142,4181,76,175
23,mimara,,0,13,30,0,45,0,6,0,6,5,0,1
24,SonGoku,~~~~~~~~,5,316,512,19,585,16,366,3,43,261,9,88
25,Miki,,0,81,190,4,157,2,82,0,16,7,2,5
26,Jakic007,,1,81,440,6,88,2,101,8,10,28,1,1
27,Amon,,13,1995,7646,23,4297,68,12282,134,878,4525,116,506
28,Gandalf,,0,0,1,0,0,0,1,0,0,0,0,0
29,netbitan11,netbitan,1,55,75,3,67,0,51,6,1,7,7,6
30,spenadla,,6,121,107,3,116,0,104,2,4,5,1,4
31,feel_d_boot,iNut,22,2178,12176,105,8486,95,10192,124,1731,6922,143,671
32,hmik,,1,15,4,0,18,0,1,0,0,0,0,0
33,sintetika,vandaLara,0,254,390,17,1033,56,293,5,19,1029,65,60
34,TamTam,foobar,6,200,70,2,245,4,26,0,4,33,1,7
35,Nabas,,2,56,78,0,32,1,7,0,0,0,0,0
36,Tone,,0,5,135,1,6,0,108,1,11,0,0,0
37,DazedAndConfused,,1,116,305,43,189,4,32,0,10,74,0,0
38,SenorBurrito,,0,2,0,0,1,0,0,0,0,0,0,0
39,in1,,2,501,1607,181,620,2,1508,43,137,352,16,74
40,Paula13,p13,5,87,126,3,87,1,3,2,1,2,15,1
41,MordorGuy,,4,3631,929,65,10118,240,968,17,29,10795,286,460
42,Stoke,coolcoolcool,0,14,4,0,17,1,2,0,0,0,0,0
43,Lenobius,,0,32,279,6,78,0,48,4,17,17,6,7
44,Fortius,,10,633,580,6,1328,13,106,3,77,294,22,207
45,tidabudibuda,,0,6,19,0,4,0,4,0,3,0,0,0
46,angello2,,2,202,506,68,271,13,75,3,10,18,1,12
47,Sveti_Ilija,Sveti Ilija,0,23,215,4,131,4,21,1,28,52,0,34
48,zeroth,,18,823,259,2,901,12,87,0,13,438,13,36
49,HeHe,Direktor života,7,9257,9987,698,26331,390,9621,705,390,17343,593,1951
50,latica,,1,75,114,2,95,2,35,6,9,99,4,19
51,BrkMateaBeusana,Umarell,9,538,1113,82,738,18,1668,55,62,470,9,118
52,MarokMarsci,Collapse Enjoyer,13,8821,19968,266,27595,301,6745,268,404,23789,593,1716
53,Dlaid,Peter Jordanson,0,129,138,1,46,0,3,1,0,4,2,2
54,ALovelace,,0,103,358,18,233,0,253,12,54,7,1,5
55,Banana,Vago vagus,1,11,6,0,15,0,0,0,3,0,0,0
56,lkm,,0,8,0,0,15,0,0,0,0,0,0,0
57,MyKnee,,0,61,38,3,68,14,9,0,2,47,1,4
58,rija,,3,489,2756,41,1431,15,2894,78,133,1300,46,67
59,Upforpslone,,5,193,275,16,125,0,19,4,11,22,1,1
60,MsBrightside,,3,288,978,5,430,1,183,5,22,102,10,42
61,futa125,,0,0,13,2,0,0,11,0,1,0,0,0
62,zlatan,,0,3,3,1,2,0,3,0,0,0,0,0
63,Bog,Charlie Brown,3,675,3486,134,1176,58,4563,106,615,1112,66,180
64,Hrvoje,Hrvoje45,4,1400,5814,297,4293,95,5624,432,682,3272,75,275
65,King99,Domba,0,14,3,0,8,2,1,0,0,0,2,0
66,potemkin,meriMerino,4,261,213,10,841,18,74,5,13,480,13,84
67,Nick_Gurh,pNut,0,6,22,1,16,0,1,0,0,4,0,0
68,Nikica,,0,0,0,0,0,0,0,0,0,0,0,0
69,mikimoj,,0,26,310,12,22,1,250,2,30,0,0,0
70,Mikki,,2,68,281,0,192,4,234,12,42,13,0,1
71,Bobicki,,7,822,1592,9,1176,7,303,33,100,154,4,29
72,zeleni_caj123,,0,24,57,0,16,0,4,0,0,0,0,0
73,sterla,,0,12,3,0,0,0,1,0,0,0,0,0
74,SendFeet,Coomer - Ukrajinke dobrodošle,1,94,42,5,175,3,17,2,3,207,37,4
75,basic919,byk,0,16,24,0,10,0,3,0,0,0,1,0
76,DuckItUp,,2,66,18,1,126,0,6,1,1,78,0,3
77,Somi,Somilitia,0,8,2,0,48,0,0,0,0,4,0,11
78,aiju,,0,5,7,1,2,0,1,0,0,7,1,12
79,mort_adela,mort.adela,1,22,12,0,23,0,1,0,0,8,0,1
